
401
14480;87
14484;75
14488;73
144;83
14444;79
14448;80
14452;84
14456;76
14460;81
14464;81
14468;79
14472;88
14476;89
14480;87
14484;75
14488;73
144983
14444;79
14448;80
14452;84
14456;76
14460;81
14464;81
14468;79
14472;88
14476;89
14480;87
14484;75
14488;73
1449100;77
104;79
108;83
112;88
116;80
120;82
124;74
128;88
132;73
136;79
140;70
144;75
148;82
152;72
156;77
160;73
164;77
168;79
172;70
176;82
180;73
184;79
188;79
192;87
196;70
200;83
204;89
208;88
212;86
216;85
220;87
224;76
228;82
232;77
236;80
240;83
244;89
248;79
252;89
256;71
260;77
264;82
268;83
272;86
276;75
280;75
284;78
288;81
292;84
296;87
300;71
304;83
308;78
312;74
316;78
320;80
324;74
328;86
332;80
336;73
340;72
344;76
348;79
352;74
356;71
360;83
364;87
368;78
372;78
376;83
380;88
384;71
388;85
392;83
396;75
400;84
404;73
408;86
412;75
416;79
420;85
424;84
428;79
432;71
436;87
440;85
444;75
448;74
452;81
456;88
460;78
464;73
468;75
472;72
476;82
480;76
484;86
488;87
492;88
496;74
500;71
504;87
508;81
512;78
516;87
520;88
524;87
528;87
532;84
536;74
540;79
544;81
548;75
552;85
556;85
560;88
564;72
568;89
572;78
576;82
580;70
584;87
588;84
592;78
596;85
600;78
604;83
608;80
612;76
616;72
620;72
624;75
628;72
632;82
636;77
640;71
644;85
648;82
652;81
656;71
660;80
664;81
668;88
672;87
676;86
680;80
684;70
688;89
692;85
696;76
700;82
704;88
708;85
712;89
716;84
720;73
724;79
728;70
732;75
736;76
740;73
744;76
748;83
752;80
756;88
760;84
764;70
768;74
772;76
776;84
780;76
784;84
788;73
792;88
796;74
800;80
804;80
808;89
812;73
816;77
820;75
824;87
828;82
832;89
836;77
840;75
844;86
848;75
852;73
856;70
860;74
864;78
868;85
872;85
876;75
880;84
884;72
888;81
892;89
896;82
900;74
904;85
908;88
912;86
916;82
920;85
924;81
928;83
932;79
936;87
940;83
944;77
948;75
952;80
956;72
960;81
964;78
968;87
972;71
976;75
980;85
984;78
988;85
992;86
996;77
1000;89
1004;84
1008;81
1012;86
1016;71
1020;82
1024;70
1028;84
1032;74
1036;85
1040;79
1044;77
1048;85
1052;83
1056;79
1060;70
1064;85
1068;85
1072;76
1076;73
1080;72
1084;86
1088;78
1092;79
1096;81
1100;74
1104;88
1108;78
1112;87
1116;81
1120;79
1124;73
1128;81
1132;81
1136;84
1140;89
1144;85
1148;79
1152;70
1156;79
1160;73
1164;84
1168;70
1172;87
1176;75
1180;87
1184;75
1188;70
1192;86
1196;74
1200;87
1204;78
1208;74
1212;80
1216;80
1220;86
1224;82
1228;84
1232;87
1236;74
1240;71
1244;78
1248;75
1252;88
1256;89
1260;79
1264;79
1268;83
1272;73
1276;77
1280;77
1284;83
1288;72
1292;75
1296;86
1300;83
1304;74
1308;80
1312;76
1316;70
1320;74
1324;80
1328;75
1332;86
1336;88
1340;85
1344;83
1348;87
1352;86
1356;88
1360;76
